"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",1.17400996908819,0.0124433716501555,94.3482202489323,0
"genderfemale",0.00652226519030176,0.00254170294231536,2.56610049967535,0.0103344303679565
"age",1.23814111756771e-05,9.10706838654293e-05,0.135953861881311,0.891867139475321
"raceother hispanic",-0.0197684605600891,0.00543255682174535,-3.63888703031329,0.000278569260222711
"racewhite",-0.0174498123482812,0.00412053867774096,-4.23483765424765,2.35792755400179e-05
"raceblack",-0.00645032519452173,0.00461532408895999,-1.39758878687439,0.162342902142291
"raceasian",-0.0558903451541693,0.00562517121314333,-9.93575893718226,6.69716099924519e-23
"raceother",-0.0130995048616656,0.00766027602693384,-1.71005650652891,0.0873618040587366
"eduhs",0.00645190610101369,0.00408303298539226,1.5801748661097,0.114175283345638
"eduabove hs",0.00839643507577215,0.00383449156557148,2.18971275127078,0.0286240503095671
"marriagewidowed",-0.00784317991624277,0.00577074553039356,-1.35912766815553,0.174211240191335
"marriagedivorced",0.00141059810105591,0.00371206753873059,0.380003350245694,0.703970602832968
"marriagenever_married",-0.0065815741244551,0.0036569894987522,-1.79972464419184,0.0720074597377945
"famsize",0.00104808810907406,0.000854437016377736,1.22664174068357,0.220056308078917
"famincome25k~55k",0.00358187701943912,0.00329256834003596,1.08786717526416,0.276743655035178
"famincome55k~75k",-0.00177520526140991,0.00444636470712423,-0.399248684788625,0.689739210936374
"famincome75k~100k",-0.00241444092671474,0.0048130861299596,-0.501640914274478,0.615958004141935
"famincomeabove 100k",-0.0128542380355511,0.00426378502759704,-3.0147481527218,0.00259408824268819
"alcohol12yrno",0.00458956673983762,0.00357279295412212,1.28458793967963,0.19903835311984
"alcoholfrq",-0.000157582117421425,6.70875763037072e-05,-2.34890163132511,0.0188952853369699
"log.grocery",0.00043385344196592,0.00116327183390826,0.372959637910511,0.709205591880672
"log.eatout",0.00203920485862277,0.000872264045962101,2.33782977535609,0.0194633682704276
"log.delivery",-0.000523448625550229,0.000624088966605753,-0.83874039369278,0.401683754705971
"milkrare",0.00818409527539588,0.00397364449198205,2.05959423192226,0.0395259280714595
"milksometimes",0.00992646813633395,0.00357840533894012,2.773992098747,0.00557255264837482
"milkoften",0.00315161895916987,0.00352650627849221,0.893694413190544,0.371559166786901
"milkvaried",0.0554488556261704,0.0215768892142126,2.56982621895498,0.0102242061491487
"meals_nothome",-4.88875610499639e-05,0.000411615451331933,-0.118769985168852,0.905465769589983
"meals_fastfood",0.000792230194074026,0.000568283409535383,1.39407587971245,0.163400906798766
"depressedsometimes",-0.000322379747602646,0.00330433470855897,-0.0975626793398411,0.922286265744206
"depressedoften",0.0212999952828713,0.0066214703090584,3.21680748967977,0.00131043950259797
"depressedalwyas",0.00855776602118512,0.00697232171671721,1.2273911573338,0.219774685014467
"sleep_troublesometimes",-0.000258833276273979,0.00298404479187748,-0.0867390720737567,0.930884873805497
"sleep_troubleoften",0.00643476564550702,0.00509981057799251,1.26176561797713,0.207134054665793
"sleep_troublealways",0.0104559089313486,0.00460973328089472,2.26822427550932,0.0233883684127392
"activityNo",0.00599182295485034,0.00244477371902767,2.45087015956363,0.0143094660753292
"tv_hrs2~4hrs",0.0162982417015724,0.00285744195843785,5.70378749197151,1.2892260102306e-08
"tv_hrs5hrs",0.0274565591565047,0.00410727301853273,6.68486341974733,2.75898734439962e-11
"tv_hrs0hr",0.0142972695304118,0.00872247277419643,1.63913031321889,0.101293996618788
"sleep_hr",-0.00150858431291133,0.00088780536595207,-1.69922864939383,0.0893827721781803
"smokesometimes",0.00629440756298385,0.00656474373788464,0.958819995769112,0.337728924203464
"smokeno",0.0232256446895239,0.00394063748824717,5.89388005336538,4.20460944049364e-09
"smokemissing",0.0163089950464577,0.00366700731920429,4.44749454440594,9.01264426486441e-06
