"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",1.24054945789225,0.0187413188212034,66.1932849938353,0
"genderfemale",0.00769970128320626,0.00246258228839826,3.12667776402079,0.00178529341486325
"raceother hispanic",-0.0189712529173655,0.00536717241473452,-3.53468296738216,0.000414591854949658
"racewhite",-0.0162956325701757,0.00389760220370322,-4.18093784806791,2.98828677025113e-05
"raceblack",-0.00619839608381401,0.00448829874525778,-1.38101236918845,0.167380620186593
"raceasian",-0.0537884907983756,0.00546780531325399,-9.83730906950765,1.72912875899684e-22
"raceother",-0.01143592102622,0.00753753319425351,-1.51719677134404,0.129325038516728
"marriagewidowed",-0.00866980937835649,0.00549772480258849,-1.576981331309,0.114907921503652
"marriagedivorced",0.000912379482863554,0.00359271488302249,0.253952654905915,0.79954997848975
"marriagenever_married",-0.00718472350707614,0.00339621842764236,-2.11550689690585,0.0344710499729137
"famincome25k~55k",0.00482679622742677,0.00324916559058947,1.48554947196492,0.137506056573657
"famincome55k~75k",0.000375946733917473,0.00434285537924532,0.086566717306346,0.931021845451482
"famincome75k~100k",-0.000610178188971185,0.00467898405129025,-0.130408264333136,0.896252392868983
"famincomeabove 100k",-0.010227859504011,0.0040343330655874,-2.53520454006486,0.0112898314108684
"alcoholfrq",-0.000160726163378983,6.69031404735267e-05,-2.40237098350536,0.0163511188156637
"log.eatout",0.00217289842274873,0.000853984783087943,2.54442288174234,0.0109968189868245
"milkrare",0.00848796525279638,0.00396075915741772,2.14301473920728,0.0321941610408065
"milksometimes",0.0102517937855517,0.00356590177036737,2.87495125938243,0.00407007849625564
"milkoften",0.00343527466295274,0.00351744499112593,0.976639200220473,0.328828541293144
"milkvaried",0.0554001838230305,0.0215398126089496,2.5719900552901,0.0101605035583828
"meals_fastfood",0.000656034965485923,0.000450122993413375,1.45745712857518,0.145097548474096
"depressedsometimes",0.000839063662751806,0.00322680033467074,0.260029619352765,0.794859221678496
"depressedoften",0.0220355424077715,0.00651682660215944,3.38133017080272,0.000730826908550696
"depressedalwyas",0.011087179025336,0.00666405614702582,1.663728333124,0.0962738156252913
"activityNo",0.0058801852972326,0.00242395018590144,2.42586886951467,0.0153318758255886
"tv_hrs2~4hrs",0.0159696863168132,0.00280928953436986,5.6845996546224,1.44041464231829e-08
"tv_hrs5hrs",0.0266123521869844,0.00400449462815728,6.64562064832395,3.58757260983831e-11
"tv_hrs0hr",0.0142425743471426,0.00870068267150559,1.6369490630645,0.101748650264495
"sleep_hr",-0.0185286463287307,0.00511725551894942,-3.62081710794358,0.000298656967950199
"smokesometimes",0.00651008577162477,0.00653459266580668,0.996249667663274,0.319211231457587
"smokeno",0.0238126989778145,0.00384905124909567,6.18664118421631,7.00278448557166e-10
"smokemissing",0.0177814653931365,0.00359660310247438,4.9439609783196,8.08678990537509e-07
"I(sleep_hr^2)",0.00122376092609642,0.000372861579772075,3.28207837032845,0.00104255557797132
