"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",1.17230852719098,0.0175368724231865,66.848209811973,0
"genderfemale",0.00640772083148509,0.00254714891253943,2.51564437396665,0.0119349527124978
"age",7.27169809786552e-06,9.15018361597942e-05,0.0794705155989067,0.936663848776511
"raceother hispanic",-0.0200767094467503,0.00546012870372843,-3.67696633836507,0.000240293319699617
"racewhite",-0.0180942538791813,0.00414474030980933,-4.36559410884144,1.31199621736304e-05
"raceblack",-0.00680325512641994,0.0046305406503978,-1.46921399466291,0.141882886783128
"raceasian",-0.0562426892482132,0.00565660616904029,-9.94283278126033,6.26495595300812e-23
"raceother",-0.0141926495629746,0.00768981419390537,-1.84564271711833,0.0650456549255001
"eduhs",0.00618862834582229,0.00409442051803506,1.51147844208055,0.13077521469659
"eduabove hs",0.00816887199660235,0.00384344146072422,2.12540559810246,0.0336368263735287
"marriagewidowed",-0.00881086552136637,0.00583479019362142,-1.51005695646064,0.131137497968957
"marriagedivorced",0.00141612101639529,0.00374713559335924,0.377920942840971,0.705516896961413
"marriagenever_married",-0.00634921846663961,0.00369305801136587,-1.71923063409756,0.0856787657149958
"famsize",0.00154865248755519,0.00443063918040477,0.349532522170696,0.726714860189214
"famincome25k~55k",-0.000344799292585524,0.0060630274577818,-0.0568691623098259,0.954653325115117
"famincome55k~75k",-0.0108288824551741,0.00879730052773751,-1.23093242308037,0.218447653237485
"famincome75k~100k",-0.00453134261137362,0.00995202434398973,-0.455318682385479,0.648913968282795
"famincomeabove 100k",-0.0193108088117351,0.00842447146011645,-2.29222793419828,0.0219635866990889
"alcohol12yrno",0.00456844080927331,0.00357732669093301,1.27705440513788,0.201684962099595
"alcoholfrq",-0.000156063189787126,6.71409808781191e-05,-2.32441033398703,0.0201720350546532
"log.grocery",0.00313695737263929,0.00233993706177895,1.34061613189476,0.180149797422895
"log.eatout",0.00021965267974232,0.00167330119507238,0.131269062849632,0.895571541580646
"log.delivery",-0.00167864185180102,0.00129976031680678,-1.29150107915671,0.196632588222924
"milkrare",0.0082518994073579,0.00397747904048147,2.07465566087785,0.0381061913199908
"milksometimes",0.0101932214807429,0.00358197231565579,2.84570079902382,0.0044623949086591
"milkoften",0.00334566070554888,0.00352908480042698,0.948025024829127,0.343195460340051
"milkvaried",0.0550346895992171,0.021588356178174,2.54927652411339,0.0108455713329662
"meals_nothome",3.88667785010771e-05,0.000413997366814108,0.0938817046112492,0.925209592649835
"meals_fastfood",0.00078904730506889,0.000569022938783683,1.38667046842702,0.165648521718602
"depressedsometimes",-0.000209172590243438,0.00331101332287662,-0.0631747957032407,0.949631655143445
"depressedoften",0.0213493603715477,0.00662525329434174,3.22242175854333,0.00128515166907914
"depressedalwyas",0.00853763566257582,0.00697636837141189,1.22379370010932,0.221129173098473
"sleep_troublesometimes",-0.000247862987428283,0.00298635051233856,-0.0829986253804434,0.933858343131236
"sleep_troubleoften",0.00657556521996474,0.00510236167843534,1.28872973622308,0.197594539036127
"sleep_troublealways",0.00999841205669448,0.00461624359909981,2.16591950620722,0.0303983303182331
"activityNo",0.00570797599383571,0.00245178810155016,2.32808699504937,0.0199757136124612
"tv_hrs2~4hrs",0.0163447371804524,0.00285889648727891,5.71714899548855,1.19318612279893e-08
"tv_hrs5hrs",0.0275455712330486,0.00411575664951113,6.69271134781996,2.61817946083003e-11
"tv_hrs0hr",0.0146910602618394,0.00873082788965114,1.68266520054221,0.0925472360077311
"sleep_hr",-0.00153074393325806,0.000888505265016592,-1.72283045866866,0.0850254662001458
"smokesometimes",0.00644992445043554,0.00656766639390129,0.982072484136057,0.326145808912119
"smokeno",0.0234771389682922,0.00394852415409923,5.94580102642124,3.07870759845367e-09
"smokemissing",0.0165080059483166,0.00367713778776122,4.4893628961256,7.42136846075941e-06
"famsize:famincome25k~55k",0.00146049112805746,0.00185839878129303,0.785886830511846,0.431997797551541
"famsize:famincome55k~75k",0.00328457249169055,0.00267460040448368,1.22806101658562,0.219523416398577
"famsize:famincome75k~100k",0.000729795533270421,0.00283688002202061,0.257252872030384,0.797001765367082
"famsize:famincomeabove 100k",0.00209895372713933,0.00235906826282386,0.889738444714115,0.373679917802152
"famsize:log.grocery",-0.000850736585381903,0.000674246355301536,-1.26175926453683,0.207136584026359
"famsize:log.eatout",0.000591798279980391,0.000466196044503048,1.26941935041776,0.20439308424463
"famsize:log.delivery",0.000359581772022011,0.00036385231204,0.988262985072033,0.323106059496951
