"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",1.22746628857518,0.0233990327047906,52.4579927752258,0
"genderfemale",0.00710875914018284,0.00248149113247979,2.8647126911467,0.00420376247898129
"raceother hispanic",-0.0194891168680421,0.00542662739359627,-3.5913865932716,0.000334359579603737
"racewhite",-0.0164487635269465,0.00402403009227916,-4.08763432423293,4.47573887202798e-05
"raceblack",-0.00575779180626825,0.00455855840045471,-1.26307294992512,0.206664051870889
"raceasian",-0.0537097999299557,0.00553850249185538,-9.69753105806821,6.59724625851069e-22
"raceother",-0.012383161918373,0.00759236170196305,-1.63100263191772,0.102997865498225
"marriagewidowed",-0.00894944500148894,0.0056570116014981,-1.58200930666625,0.113756006032458
"marriagedivorced",0.0015103887367348,0.00373269593127866,0.404637496474943,0.685773700833173
"marriagenever_married",-0.00619926967295219,0.00348287278790859,-1.77992997461006,0.0751916388168741
"famincome25k~55k",0.00131208620924367,0.00603261776807,0.217498648130567,0.827834993158537
"famincome55k~75k",-0.00922019071921498,0.00875388184606613,-1.05326881049444,0.292305166036047
"famincome75k~100k",-0.00301454480332063,0.00991261013632215,-0.30411211193252,0.761064200900595
"famincomeabove 100k",-0.0170132907453037,0.00834252864084666,-2.03934460134824,0.0415057162287357
"alcoholfrq",-0.00015490356868821,6.70065928261063e-05,-2.31176608382718,0.0208600152251026
"log.eatout",0.000294512941171223,0.00164942219367895,0.178555219094225,0.858299375809063
"milkrare",0.00848423147194998,0.00397021795845049,2.13696869057064,0.0326836046322937
"milksometimes",0.0103184197235176,0.00357058059729327,2.88984366613644,0.00388282158493574
"milkoften",0.00347789463493678,0.00352019646799845,0.987983104509585,0.323242977543589
"milkvaried",0.0550788877793301,0.0215564202177412,2.55510364072414,0.0106660166399146
"meals_fastfood",0.000749938260419383,0.000456370882670711,1.6432649165317,0.100436054560392
"depressedsometimes",-7.10959533742604e-05,0.0033035150552697,-0.0215213044847032,0.982831282851361
"depressedoften",0.0201976966841132,0.0066267448890789,3.04790617749593,0.00232510868729225
"depressedalwyas",0.00691848990404675,0.00696647379020382,0.993112170144881,0.320737778430522
"sleep_troublesometimes",-0.000244005124604379,0.0029785184073101,-0.0819216439977416,0.934714651034097
"sleep_troubleoften",0.00616285172231807,0.00509052552243425,1.21065137482525,0.226127262716543
"sleep_troublealways",0.00846342735601991,0.00461892026119152,1.83233891849794,0.067002974110701
"activityNo",0.00523809269805982,0.00243831342312882,2.14824421191036,0.0317765801303123
"tv_hrs2~4hrs",0.0163641037599448,0.00282540886953248,5.79176484380914,7.70906833031279e-09
"tv_hrs5hrs",0.0267550952118649,0.00404119089933317,6.62059671971441,4.24319335868208e-11
"tv_hrs0hr",0.0140036199566008,0.00871217697274265,1.60736174212407,0.108083412907691
"sleep_hr",-0.0173112274124748,0.00515189323537916,-3.36016812103072,0.000788983457679279
"smokesometimes",0.00736855396889803,0.00654232986137258,1.12628897121248,0.260136000662226
"smokeno",0.0243651056567697,0.00387332766294953,6.29048399128096,3.63981624401647e-10
"smokemissing",0.0183311789085993,0.00362056666764878,5.06306901413963,4.3823988884643e-07
"I(sleep_hr^2)",0.00116070087745801,0.000374351351701198,3.10056547728047,0.00194998402543472
"famsize",0.00138590111651999,0.00439865496361461,0.315073841432001,0.752728156603451
"log.grocery",0.00322395675053477,0.00232791899233769,1.38490933797369,0.166186244355651
"log.delivery",-0.00160166965335856,0.00128918373274826,-1.24239052407538,0.214192515003726
"famincome25k~55k:famsize",0.00129550583181735,0.00185462213352692,0.698528184473727,0.484902698560686
"famincome55k~75k:famsize",0.0034377879676079,0.00266885603731178,1.28811292911499,0.197808964027912
"famincome75k~100k:famsize",0.00093215036841732,0.0028284981588191,0.329556646699919,0.7417586792404
"famincomeabove 100k:famsize",0.00217500184398288,0.00235308979265464,0.924317402069537,0.355397644243712
"famsize:log.grocery",-0.000885950680881018,0.000671189043186836,-1.31997190638644,0.186948113316114
"log.eatout:famsize",0.000619664423522421,0.000463854512131114,1.33590254555347,0.181685484423217
"famsize:log.delivery",0.000340735864371645,0.000361930691944838,0.941439540649891,0.346557722371818
